approach,mean_f1,mean_mcc,mean_pr_auc,mean_precision,mean_recall,mean_roc_auc,metrics,name,std_f1,std_mcc,std_pr_auc,std_precision,std_recall,std_roc_auc
RF,0.169444444445,0.15102486122,0.60562499999,0.18125,0.2,0.56642857143,delta-process,DavidWittman/ansible-redis,0.337919234002111,0.336911439882905,0.182501190901372,0.370532600313032,0.376968517462526,0.276294309382939
RF,0.866962572372308,0.866159438972308,0.881132361184615,0.850102675096923,0.906336996333846,0.987588777950769,ico-delta,CentOS-PaaS-SIG/linchpin,0.119482936476183,0.118572013244217,0.1064076414682,0.140001265486085,0.143770914129182,0.029386006119862
RF,0.87993440354,0.879448588343077,0.892908705953846,0.848770673766154,0.932771672769231,0.987663730658462,ico,CentOS-PaaS-SIG/linchpin,0.111750413096694,0.111423407247657,0.09836250603764,0.141124592342354,0.121067965005532,0.031840880077525
RF,0.032747252746154,0.032920036641539,0.478646296752308,0.06282051282,0.023461538461539,0.529799942975385,process,CentOS-PaaS-SIG/linchpin,0.103104970862504,0.114585533050427,0.144479663198435,0.204140500677382,0.075904446790431,0.080149995985805
RF,0.080966198887692,0.066244915327692,0.33387721798,0.102572100403077,0.117448107449231,0.518724114936923,delta,CentOS-PaaS-SIG/linchpin,0.113651821120711,0.115392920786202,0.201792282496424,0.199358684571451,0.17702538358184,0.118045574819378
RF,0.870734141753846,0.870309498823077,0.885778072993846,0.868031968029231,0.89758241758,0.988723777858461,ico-process,CentOS-PaaS-SIG/linchpin,0.119585497155023,0.118902207836306,0.104708712789463,0.142460640078887,0.14796752069119,0.024005404281096
RF,0.035508935507692,0.043646520970769,0.486755176084615,0.111538461538462,0.022112332113846,0.553062373987692,delta-process,CentOS-PaaS-SIG/linchpin,0.085989621868722,0.112404519123209,0.133405540483656,0.28651587417427,0.054166598883799,0.092231198121895
RF,0.9125000000025,0.908744917945,0.9387648809525,0.8958333333325,0.95,0.9905952380925,ico-delta,CSCfi/ansible-role-slurm,0.241633507890548,0.258230680904118,0.175577630351252,0.266044948328052,0.220721427863152,0.035479283826878
RF,0.91666666667,0.91278086364,0.940848214285,0.9,0.95,0.9905952380925,ico,CSCfi/ansible-role-slurm,0.23570226039189,0.252884747866264,0.172737669631662,0.258198889747161,0.220721427863152,0.035479283826878
RF,0,-0.0148611111125,0.48562725471,0,0,0.5143244949525,process,CSCfi/ansible-role-slurm,0,0.041443132587436,0.167629536121087,0,0,0.252992286897194
RF,0.05,0.0273685221875,0.456202651535,0.05,0.05,0.4701776695525,delta,CSCfi/ansible-role-slurm,0.220721427863152,0.231027872734854,0.247697410959247,0.220721427863152,0.220721427863152,0.247420531546537
RF,0.89166666667,0.8883231692225,0.929737103175,0.875,0.925,0.9801785714275,ico-process,CSCfi/ansible-role-slurm,0.276192055064067,0.29023765156701,0.182834310963937,0.294174202707276,0.266746782836918,0.068453270152662
RF,0.025,0.02106060606,0.53437725471,0.025,0.025,0.512320526695,delta-process,CSCfi/ansible-role-slurm,0.158113883008419,0.159724678355309,0.136233438886014,0.158113883008419,0.158113883008419,0.242083500895592
RF,0.903692267331818,0.902885261545455,0.911945557768182,0.893885281381818,0.926406926404546,0.996954153013636,ico-delta,gluster/gdeploy,0.156173409935372,0.156834043463809,0.146028440355861,0.182787823846988,0.141701503156795,0.00737329443659
RF,0.918299881936364,0.918903997954546,0.926627113581818,0.902976190472727,0.94805194805,0.997644967054545,ico,gluster/gdeploy,0.151189695619329,0.149880232298932,0.139529207824147,0.182869569067573,0.129086137709621,0.006380327555319
RF,0.01515151515,0.017900631940909,0.485943899922727,0.045454545454546,0.009090909090909,0.499823347336364,process,gluster/gdeploy,0.071066905444764,0.094202449149477,0.150900646198251,0.21320071635561,0.042640143271122,0.090197716378876
RF,0.028282828281818,0.029711088368182,0.358903400781818,0.068181818181818,0.017857142859091,0.402766029077273,delta,gluster/gdeploy,0.09556461583061,0.116245980926037,0.248400302699872,0.233781264548038,0.060116100827827,0.203312595481035
