id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,repository_size,fixing_commit_count,fixed_file_count,clean_count,defective_count
63640766,ansible-lockdown/RHEL7-STIG,0.06,10.17,4,True,True,0.4167,1.26,8790,23,5,53,10
45902662,fgci-org/ansible-role-cuda,0.2996,2.46,4,True,True,0.8485,0.05,374,4,4,26,10
55234238,openstack/tripleo-quickstart,0.1266,48.66,15,False,True,0.7632,0,17330,40,35,312,9
73430290,newrelic/infrastructure-agent-ansible,0.0015,2.43,6,True,True,0.5517,0.3,665,4,5,17,9
144489384,cloudalchemy/ansible-pushgateway,0.0396,3.92,2,True,True,0.6111,0.04,776,1,1,45,9
84809912,idealista/mysql_role,0.0358,2.77,4,True,True,0.7347,0.19,1267,1,1,63,9
74197456,pingcap/tidb-ansible,0.0285,26.09,4,False,True,0.8285,1.96,98050,41,31,208,8
21044547,rcbops/openstack-ops,0.1266,5.73,3,True,True,0.6111,0.01,6866,7,17,140,8
133828241,bird-house/ansible-wps-playbook,0.1459,6.83,2,True,True,0.6579,3.07,1376,10,10,69,8
89751137,mrlesmithjr/ansible-netdata,0.0957,2.7,4,True,True,0.6324,0.58,1361,9,5,62,8
178251144,tulibraries/ansible-role-airflow,0.116,4.14,5,True,True,0.6444,0.6,1478,6,3,71,8
76857031,idealista/java_role,0.0532,7.82,5,True,True,0.7333,0.04,1032,3,2,24,8
115113358,idealista/consul_role,0.0307,3,4,True,True,0.8085,0.83,1263,2,1,60,8
95896053,stone-payments/ansible-rabbitmq,0.046,5.24,5,False,True,0.6667,0.07,1328,36,24,53,7
179346232,dokku/ansible-dokku,0.0193,6.05,3,True,True,0.3333,1.32,3095,6,3,28,7
27260401,AlbanAndrieu/ansible-jenkins-slave-docker,0.2367,3.18,2,True,False,0.3889,0.31,5404,8,4,37,6
150624995,linux-system-roles/storage,0.1156,8.19,3,True,True,0.6306,7.04,5966,9,15,28,5
200037974,hadret/ansible-role-containers,0.0748,7,3,True,True,0.8571,0.29,334,2,2,7,5
67722864,folio-org/folio-ansible,0.0149,34.41,4,False,True,0.4889,0,44613,29,33,467,4
59304980,nwoetzel/ansible-role-eclipse,0.0928,3.37,3,True,True,0.3103,0.06,684,2,3,17,4
98467807,m4rcu5nl/ansible-role-zerotier,0.1272,2.78,2,True,True,0.7647,0.05,302,2,1,32,4
76637791,kairen/kube-ansible,0.0051,7,3,True,True,0.8945,0.26,13597,29,37,55,3
207655290,aristanetworks/ansible-avd,0.1051,81.5,3,True,True,0.7511,39.07,10509,12,9,43,3
61288349,rhevm-qe-automation/ovirt-ansible,0.0595,3.24,6,True,True,0.7253,1.17,2181,11,7,140,3
101293994,mimacom/ansible-role-bamboo,0.0836,2.72,2,True,True,0.75,0.09,252,7,5,13,3
113180256,stackhpc/ansible-role-libvirt-vm,0.1537,4.39,6,True,False,0.7895,0.36,655,4,4,20,3
143967403,wcm-io-devops/ansible-conga-ansible-controlhost,0.1326,2.41,2,True,True,0.7857,0.3,445,5,3,21,3
23205345,mattfinlayson/ansible-consul,0.0105,10.87,17,False,True,0.5205,0.67,1130,8,3,21,3
121444859,ReinerNippes/nextcloud,0.7581,10.24,2,False,True,0.7594,0.47,4845,1,3,286,3
46574024,infOpen/ansible-role-docker,0.0682,3.25,4,True,True,0.6047,0.05,874,3,2,21,3
58842707,trailofbits/algo,0.042,19.7,3,True,True,0.568,7.45,6508,34,24,76,2
128184455,micado-scale/ansible-micado,0.0908,24.19,4,True,True,0.5759,0.1,7724,36,21,22,2
39786045,galaxyproject/ansible-galaxy-tools,0.0391,2.78,4,True,True,0.68,0.67,1620,6,6,3,2
105204819,AlexeySetevoi/ansible-clickhouse,0.047,4.47,4,True,False,0.9091,0.21,811,15,6,12,2
147718744,diodonfrost/ansible-role-mariadb,0.1088,3.55,2,True,True,0.7727,0.17,967,5,3,28,2
197042746,aristanetworks/ansible-cvp,0.2008,36.39,2,True,True,0.392,2.38,8361,2,2,6,2
133779178,idealista/nexus-role,0.0394,3.66,4,True,True,0.5517,0.03,2363,1,1,46,2
42964425,infOpen/ansible-role-fail2ban,0.1033,2.76,3,True,True,0.7,0.12,816,3,1,6,2
221063702,cloudalchemy/ansible-smokeping_prober,0.0403,2.18,2,True,True,0.6053,0.09,785,1,1,5,1
73831397,openstack/kolla-ansible,0.0697,156.77,27,False,True,0.9066,0,56259,341,423,0,0
24183121,OpenConext/OpenConext-deploy,0.0275,48.06,5,True,True,0.7537,0.04,10691,61,71,0,0
