id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,release_count,repository_size
84969565,CSCfi/ansible-role-jetty,0.0738,0.48,2,True,False,0.5556,0,5,113
46275174,CSCfi/ansible-role-nhc,0.3554,1.55,3,True,True,0.5,0,16,292
45098692,CSCfi/ansible-role-nis,0.2322,1.6,3,True,True,0.7143,0,13,764
50902679,CSCfi/ansible-role-pdsh-machines,0.4022,0.52,2,True,True,0.5714,0,5,278
49950243,CSCfi/ansible-role-provision-vm,0.2716,1.27,7,True,True,0.55,0,9,700
43808719,CSCfi/ansible-role-pxe_bootstrap,0.372,0.91,4,True,True,0.4444,0.03,11,260
42982158,CSCfi/ansible-role-pxe_config,0.3042,3.6,4,True,True,0.4545,0.03,20,526
43130530,CSCfi/ansible-role-rdma,0.2916,1.42,3,True,True,0.55,0,21,430
42577617,CSCfi/ansible-role-rsyslog,0.3849,0.93,3,True,True,0.625,0,13,286
170679792,CSCfi/ansible-role-shibboleth-idp-proxy,0.0981,4.85,3,True,False,0.625,0,11,1113
84821229,CSCfi/ansible-role-shibboleth-sp,0.1057,2.79,3,True,False,0.8214,0,12,677
84302071,CSCfi/ansible-role-singularity,0.4362,0.79,2,True,True,0.5385,0,6,296
42846136,CSCfi/ansible-role-slurm,0.1243,7.28,5,True,True,0.6471,0.18,67,1374
42647301,CSCfi/ansible-role-squid,0.2683,1.43,3,True,True,0.5,0,10,480
50429308,CSCfi/ansible-role-stress,0.1051,0.22,3,True,True,0.3571,0,4,315
42512164,CSCfi/ansible-role-users,0.2484,2.55,6,True,True,0.375,0.08,33,587
43545910,CSCfi/ansible-role-yum,0.2889,1.2,3,True,True,0.5625,0,16,421
117805312,CSCfi/qvain-ops,0.195,2.24,3,True,True,0.4,0,6,1519
107903294,curationexperts/ansible-samvera,0.1461,6.59,3,False,True,0.8254,0.35,8,1262
155053767,cyberark/cpm,0.0227,1.82,2,False,True,0.5833,0,7,732
158565938,cyberark/pas-orchestrator,0.23,1.73,2,False,True,0.4681,0.35,7,1999
155053788,cyberark/psm,0.0189,5.14,3,False,True,0.5769,0,7,1196
155053806,cyberark/pvwa,0.0234,1.91,1,False,True,0.6,0.04,8,710
193398700,cylc/cylc-ansible,0.118,13.67,1,True,True,0.65,0,2,299
98299377,dachande/typo3-bootstrap,0.2484,3.55,1,False,False,0.5185,0,8,808
134830924,damex/ansible-role-package,0,1.07,2,False,False,0.9091,0,8,117
64062259,danbohea/ansible-role-macos-dock,0.3318,2.18,1,True,False,0.75,0,3,147
83979066,danielkoster/ansible-role-transmission-daemon,0.032,0.93,2,True,True,0.6154,0,4,212
145414708,dansible/terraform-google-storage-bucket,0.2,0,1,False,True,0,0,2,100
20684278,DataDog/ansible-datadog,0.0517,4.1,9,False,True,0.7544,1.17,29,1781
75486090,daveyb/ansible,0.057,1.38,2,False,True,0.8676,0,2,811
204793714,davidban77/ansible-collection-gns3,0.0726,45,2,False,True,0.4286,0.57,5,1112
18694239,DavidWittman/ansible-redis,0.0571,3.92,5,True,True,0.7,1.39,21,1156
160501631,dcos/dcos-ansible,0.0403,7.14,5,False,False,0.8085,1.09,7,2545
93437464,deekayen/ansible-role-chocolatey,0,0.78,2,True,True,0.5556,0,7,98
74082083,Dell-Networking/ansible-dellos-docs,0.0724,0.89,2,False,True,0,0,3,3099
73520564,Dell-Networking/ansible-dellos-examples,0.0716,0.82,2,False,True,0.7607,0.08,3,8733
80266658,Dell-Networking/ansible-role-dellos-acl,0.0604,0.52,2,False,True,0.8889,0,6,311
73995376,Dell-Networking/ansible-role-dellos-bgp,0.0375,0.64,1,False,True,0.8889,0,10,513
73995272,Dell-Networking/ansible-role-dellos-interface,0.0615,0.63,1,False,True,0.8889,0,9,305
73995181,Dell-Networking/ansible-role-dellos-lag,0.087,0.54,1,False,True,0.8889,0,7,210
96153713,Dell-Networking/ansible-role-dellos-snmp,0.0517,0.48,3,False,True,0.8889,0,3,367
73875836,Dell-Networking/ansible-role-dellos-system,0.0608,0.6,1,False,True,0.8889,0,8,309
96153970,Dell-Networking/ansible-role-dellos-users,0.087,0.56,3,False,True,0.8889,0,3,210
73966842,Dell-Networking/ansible-role-dellos-vlan,0.0901,0.62,1,False,True,0.8889,0.15,11,202
80267554,Dell-Networking/ansible-role-dellos-vrf,0.0765,0.52,3,False,True,0.8667,0,7,181
96154229,Dell-Networking/ansible-role-dellos-vrrp,0.0554,0.78,5,False,True,0.8824,0,3,307
73995306,Dell-Networking/ansible-role-dellos-xstp,0.0564,0.54,2,False,True,0.875,0,6,318
189033385,dell/ansible-powermax,0.0825,0.81,2,False,True,0.24,0,2,3936
119851437,dell/dellemc-openmanage-ansible-modules,0.0627,6.33,4,False,False,0.2939,4.26,20,31847
131582325,delphix/dx-workshops,0.095,10.77,1,False,True,0.2979,0.73,16,15164
